ID,SMILES,Heavy_Atoms
MR_Gen_1,c1ccc(N2c3ccccc3B3c4c2cc2c5c4N(c4cccc6c4B5c4c-6cccc4-2)c2ccc4occc4c23)cc1,43
MR_Gen_2,O=S1(=O)c2cc3ccoc3c3c2B2c4c5c6c7c(c41)Oc1cc4ccccc4cc1N7c1ccccc1B6c1cccc4c6c7ccccc7c-3c2c6n-5c14,55
MR_Gen_3,c1cc2c3c(c1)-c1c4c5c6c7c1B3c1c-2ccc2c3cccc(c3n-7c12)B6c1cccc2c3c6ccccc6cc(c3n-5c12)O4,45
MR_Gen_4,c1ccc(B2c3ccccc3N3c4ccc5ccccc5c4B4c5ccccc5N(c5ccccc5)c5ccc2c3c54)cc1,44
MR_Gen_5,c1ccc2c(c1)Oc1cc3c4c5c1N2c1ccccc1B5c1ccc2c5ccccc5n5c2c1N4c1c-5ccc2c1B3c1ccccc1-2,48
MR_Gen_6,c1ccc2c(c1)B1c3ccc4ccccc4c3N3c4cccc5c4B4c6c(c7c(c1c63)N2c1cc2ccccc2cc1O7)-c1cc2ccccc2c-5c14,53
MR_Gen_7,c1ccc2c(c1)B1c3cc4c5c6c3N(c3ccccc3B6c3ccnc6c7cccc(c7n-5c36)O4)c3c1c-2c1c2ccccc2n2c4ccccc4c3c12,54
MR_Gen_8,c1cc2c3c(c1)-c1c4c5c6c7c1B3c1c-2cccc1N7c1nccc2c1B6c1c(cnc3c6cccc(c6n-5c13)O4)S2,42
MR_Gen_9,c1ccc2c(c1)[Se]c1ccc3c4c1N2c1cccc2c1B4c1c(cc4oc5ncccc5c4c1-3)N2c1cccc2c1oc1cc3ccoc3cc12,51
MR_Gen_10,O=S1(=O)c2c3c4c5c6c2-n2c7c1cccc7c1ccc7c(c12)B6c1c-7c2ccccc2c2c6ccc7c(c6n-5c12)B4c1c(cccc1-7)[Se]3,48
MR_Gen_11,c1cc2c3c(c1)oc1cc4oc5ccc6c7cc8occc8cc7oc6c5n5c4c4c1n3-c1c(ccc3c1B4c1c-5cc4oc5ncccc5c4c1-3)[Se]2,53
MR_Gen_12,O=S1(=O)c2cccc3c2N2c4c(ccc5c4B4c6c2c1cc1c6-n2c6c7c(ccc6c6ccc-5c4c62)-c2ccccc2B17)B3c1ccccc1,50
MR_Gen_13,c1ccc2c(c1)B1c3c(ccc4c3N(c3ccccc3B4c3cccc4ccccc34)c3ccc4ccccc4c31)N2c1ccc2ccccc2c1,52
MR_Gen_14,c1ccc2c(c1)B1c3cc4c5c6c3-n3c7c1c-2ccc7c1ccc2c(c13)B6c1c-2ccc2c3cccc(c3n-5c12)O4,41
MR_Gen_15,c1cc2c3c(c1)Sc1cccc4c1N3c1c(c3c5c6c1B4c1c4ccccc4cc4c7ccc8c(c7n-6c14)B5c1c-8cc4c(ccc5ccccc54)c1-3)O2,54
MR_Gen_16,c1ccc2c(c1)oc1c2c2ccccc2c2c3cc4c5cccc6c5n5c4c4c3n(c12)-c1cc2oc3ncccc3c2cc1B4c1cc2ccoc2c(c1-5)[Se]6,55
MR_Gen_17,O=c1c2cccc3c2n2c4c5c(c6ccccc6c14)-c1ccccc1B5c1cc4c5c(c1-2)B3c1c2ccccc2cc2c3c6ccccc6cc(c3n-5c12)O4,55
MR_Gen_18,c1ccc(N2c3cc4ccccc4c4c3B3c5c6c(cc7c5-n5c8c9c(ccc8c8ccc2c3c85)-c2ccccc2B79)Oc2ccccc2N64)cc1,52
MR_Gen_19,c1ccc(N2c3cc4c5c6c3B(c3c2ccc2ccoc32)c2cccc3c7ccc8c(c7n-6c23)B5c2c-4cccc2-8)cc1,43
MR_Gen_20,O=S1(=O)c2cc3occc3nc2N2c3cccc4c3B3c5c-4ccc4c5N5c6c(ccc7c6B(c6cc1c2c3c65)c1ccc2ccc3ccccc3c2c1-7)O4,55
MR_Gen_21,c1cc2c3c(c1)B1c4cc5c(cc4N(c4cc6ccccc6c6c4oc4ccccc46)c4ccc6c7cccc(c7n-3c6c41)[Se]2)oc1ncccc15,52
MR_Gen_22,O=S1(=O)c2ccccc2N2c3cccc4c3N3c5c(ccc1c52)B1c2ccccc2N2c5cccc6c5B5c7c(cccc7-6)Sc6c5c2c1c3c6S4(=O)=O,54
MR_Gen_23,c1ccc(N2c3ccc4c5cccc6c5n5c4c3B3c4c7c(cc(c4-5)O6)B4c5ccccc5-c5cccc(c54)N7c4cc5ccccc5c2c43)cc1,52
MR_Gen_24,c1ccc(N2c3ccc4c5c3B3c6c2ncc2c6B(c6cc7ccccc7cc6-2)c2c3c(cc3ccoc23)N5c2ccccc2S4)cc1,48
